country,year_month,monthly_count
Montenegro,2021-10,5073
Netherlands,2020-01,0
Netherlands,2020-02,0
Netherlands,2020-03,4204
Netherlands,2020-04,33641
Netherlands,2020-05,7391
Netherlands,2020-06,4911
Netherlands,2020-07,2799
Netherlands,2020-08,17125
Netherlands,2020-09,41439
Netherlands,2020-10,247927
Netherlands,2020-11,158836
Netherlands,2020-12,301920
Netherlands,2021-01,160254
Netherlands,2021-02,107380
Netherlands,2021-03,163705
Netherlands,2021-04,255241
Netherlands,2021-05,139853
Netherlands,2021-06,42237
Netherlands,2021-07,178596
Netherlands,2021-08,86568
Netherlands,2021-09,53901
Netherlands,2021-10,39713
North Macedonia,2020-01,0
North Macedonia,2020-02,0
North Macedonia,2020-03,114
North Macedonia,2020-04,1272
North Macedonia,2020-05,592
North Macedonia,2020-06,4114
North Macedonia,2020-07,3994
North Macedonia,2020-08,3841
North Macedonia,2020-09,3702
North Macedonia,2020-10,14807
North Macedonia,2020-11,29107
North Macedonia,2020-12,22481
North Macedonia,2021-01,8669
North Macedonia,2021-02,10094
North Macedonia,2021-03,24151
North Macedonia,2021-04,25747
North Macedonia,2021-05,2587
North Macedonia,2021-06,444
North Macedonia,2021-07,736
North Macedonia,2021-08,23593
North Macedonia,2021-09,12433
North Macedonia,2021-10,4613
Norway,2020-01,0
Norway,2020-02,0
Norway,2020-03,2132
Norway,2020-04,5373
Norway,2020-05,804
Norway,2020-06,506
Norway,2020-07,270
Norway,2020-08,1458
Norway,2020-09,2863
Norway,2020-10,6157
Norway,2020-11,15184
Norway,2020-12,15968
Norway,2021-01,12251
Norway,2021-02,8036
Norway,2021-03,22143
Norway,2021-04,20323
Norway,2021-05,11312
Norway,2021-06,7165
Norway,2021-07,6005
Norway,2021-08,29301
Norway,2021-09,23279
Norway,2021-10,5818
Poland,2020-03,634
Poland,2020-04,10983
Poland,2020-05,9709
Poland,2020-06,12581
Poland,2020-07,9158
Poland,2020-08,23805
Poland,2020-09,20460
Poland,2020-10,292572
Poland,2020-11,605173
Poland,2020-12,337872
Poland,2021-01,190438
Poland,2021-02,198387
Poland,2021-03,556192
Poland,2021-04,537792
Poland,2021-05,66527
Poland,2021-06,8025
Poland,2021-07,2812
Poland,2021-08,7546
Poland,2021-09,20883
Poland,2021-10,29577
Portugal,2020-03,1600
Portugal,2020-04,22246
Portugal,2020-05,6777
Portugal,2020-06,11023
Portugal,2020-07,8518
Portugal,2020-08,7604
Portugal,2020-09,15836
Portugal,2020-10,70737
Portugal,2020-11,150458
Portugal,2020-12,136824
Portugal,2021-01,294698
Portugal,2021-02,78635
Portugal,2021-03,15760
Portugal,2021-04,16741
Portugal,2021-05,11636
Portugal,2021-06,41478
Portugal,2021-07,81556
Portugal,2021-08,75583
Portugal,2021-09,23597
Portugal,2021-10,8790
Romania,2020-01,0
Romania,2020-02,0
Romania,2020-03,433
Romania,2020-04,10603
Romania,2020-05,7034
Romania,2020-06,8243
Romania,2020-07,18485
Romania,2020-08,41987
Romania,2020-09,35888
Romania,2020-10,123990
Romania,2020-11,224873
Romania,2020-12,168893
Romania,2021-01,89627
Romania,2021-02,74034
Romania,2021-03,136353
Romania,2021-04,117894
Romania,2021-05,19400
Romania,2021-06,3242
Romania,2021-07,2499
Romania,2021-08,23565
Romania,2021-09,167076
Romania,2021-10,193282
Russia,2020-01,0
Russia,2020-02,2
Russia,2020-03,365
Russia,2020-04,80582
Russia,2020-05,263532
Russia,2020-06,289956
Russia,2020-07,178048
Russia,2020-08,177841
Russia,2020-09,161112
Russia,2020-10,485343
Russia,2020-11,632535
Russia,2020-12,990822
Russia,2021-01,607949
Russia,2021-02,389563
Russia,2021-03,270893
Russia,2021-04,294712
Russia,2021-05,248662
Russia,2021-06,539024
Russia,2021-07,701244
Russia,2021-08,700414
Russia,2021-09,599718
Russia,2021-10,380370
San Marino,2020-01,0
San Marino,2020-02,0
San Marino,2020-03,151
San Marino,2020-04,387
San Marino,2020-05,127
San Marino,2020-06,33
San Marino,2020-07,1
San Marino,2020-08,11
San Marino,2020-09,17
San Marino,2020-10,201
San Marino,2020-11,658
San Marino,2020-12,907
San Marino,2021-01,532
San Marino,2021-02,691
San Marino,2021-03,640
San Marino,2021-04,711
San Marino,2021-05,23
San Marino,2021-06,2
San Marino,2021-07,55
San Marino,2021-08,174
San Marino,2021-09,123
San Marino,2021-10,31
Serbia,2020-03,188
Serbia,2020-04,7854
Serbia,2020-05,3117
Serbia,2020-06,2887
Serbia,2020-07,9684
Serbia,2020-08,7635
Serbia,2020-09,2019
Serbia,2020-10,15019
Serbia,2020-11,120811
Serbia,2020-12,174656
Serbia,2021-01,51393
Serbia,2021-02,63996
Serbia,2021-03,126247
Serbia,2021-04,106414
Serbia,2021-05,20304
Serbia,2021-06,4649
Serbia,2021-07,5348
Serbia,2021-08,57502
Serbia,2021-09,181283
Serbia,2021-10,87829
Slovakia,2020-03,204
Slovakia,2020-04,1180
Slovakia,2020-05,129
Slovakia,2020-06,154
Slovakia,2020-07,537
Slovakia,2020-08,1785
Slovakia,2020-09,5585
Slovakia,2020-10,58823
Slovakia,2020-11,55921
Slovakia,2020-12,178719
Slovakia,2021-01,144157
Slovakia,2021-02,150203
Slovakia,2021-03,107414
Slovakia,2021-04,52995
Slovakia,2021-05,13557
Slovakia,2021-06,3828
Slovakia,2021-07,1415
Slovakia,2021-08,5540
Slovakia,2021-09,29264
Slovakia,2021-10,26438
Slovenia,2020-03,478
