country,weekly_count,year_week,year_month
Austria,15708,2021-09,2021-03
Austria,18851,2021-10,2021-03
Austria,20991,2021-11,2021-03
Austria,21849,2021-12,2021-03
Austria,21900,2021-13,2021-04
Austria,18533,2021-14,2021-04
Austria,16316,2021-15,2021-04
Austria,15250,2021-16,2021-04
Austria,12836,2021-17,2021-04
Austria,8730,2021-18,2021-05
Austria,5998,2021-19,2021-05
Austria,4307,2021-20,2021-05
Austria,3147,2021-21,2021-05
Austria,2256,2021-22,2021-06
Austria,1793,2021-23,2021-06
Austria,635,2021-24,2021-06
Austria,759,2021-25,2021-06
Austria,647,2021-26,2021-06
Austria,674,2021-27,2021-07
Austria,2067,2021-28,2021-07
Austria,2514,2021-29,2021-07
Austria,3272,2021-30,2021-07
Austria,3603,2021-31,2021-08
Austria,5535,2021-32,2021-08
Austria,7855,2021-33,2021-08
Austria,9375,2021-34,2021-08
Austria,11054,2021-35,2021-08
Austria,14081,2021-36,2021-09
Austria,14022,2021-37,2021-09
Austria,11589,2021-38,2021-09
Austria,12623,2021-39,2021-09
Austria,12701,2021-40,2021-10
Austria,14761,2021-41,2021-10
Azerbaijan,0,2020-01,2020-01
Azerbaijan,0,2020-02,2020-01
Azerbaijan,0,2020-03,2020-01
Azerbaijan,0,2020-04,2020-01
Azerbaijan,0,2020-05,2020-02
Azerbaijan,0,2020-06,2020-02
Azerbaijan,0,2020-07,2020-02
Azerbaijan,0,2020-08,2020-02
Azerbaijan,3,2020-09,2020-03
Azerbaijan,6,2020-10,2020-03
Azerbaijan,10,2020-11,2020-03
Azerbaijan,46,2020-12,2020-03
Azerbaijan,144,2020-13,2020-04
Azerbaijan,375,2020-14,2020-04
Azerbaijan,514,2020-15,2020-04
Azerbaijan,300,2020-16,2020-04
Azerbaijan,247,2020-17,2020-04
Azerbaijan,287,2020-18,2020-05
Azerbaijan,587,2020-19,2020-05
Azerbaijan,755,2020-20,2020-05
Azerbaijan,848,2020-21,2020-05
Azerbaijan,1372,2020-22,2020-06
Azerbaijan,2059,2020-23,2020-06
Azerbaijan,2404,2020-24,2020-06
Azerbaijan,2772,2020-25,2020-06
Azerbaijan,3695,2020-26,2020-06
Azerbaijan,3900,2020-27,2020-07
Azerbaijan,3717,2020-28,2020-07
Azerbaijan,3480,2020-29,2020-07
Azerbaijan,2529,2020-30,2020-07
Azerbaijan,2393,2020-31,2020-08
Azerbaijan,1125,2020-32,2020-08
Azerbaijan,651,2020-33,2020-08
Azerbaijan,1055,2020-34,2020-08
Azerbaijan,1035,2020-35,2020-08
Azerbaijan,1020,2020-36,2020-09
Azerbaijan,998,2020-37,2020-09
Azerbaijan,861,2020-38,2020-09
Azerbaijan,835,2020-39,2020-09
Azerbaijan,668,2020-40,2020-10
Azerbaijan,1291,2020-41,2020-10
Azerbaijan,2982,2020-42,2020-10
Azerbaijan,4995,2020-43,2020-10
Azerbaijan,6485,2020-44,2020-10
Azerbaijan,8967,2020-45,2020-11
Azerbaijan,10277,2020-46,2020-11
Azerbaijan,17406,2020-47,2020-11
Azerbaijan,25101,2020-48,2020-11
Azerbaijan,28484,2020-49,2020-12
Azerbaijan,29195,2020-50,2020-12
Azerbaijan,26214,2020-51,2020-12
Azerbaijan,13395,2020-52,2020-12
Azerbaijan,4782,2020-53,2020-12
Azerbaijan,4562,2021-01,2021-01
Azerbaijan,2564,2021-02,2021-01
Azerbaijan,1641,2021-03,2021-01
Azerbaijan,1187,2021-04,2021-01
Azerbaijan,935,2021-05,2021-02
Azerbaijan,1043,2021-06,2021-02
