Name,Position,Age,Team_from,League_from,Country_From,Team_to,League_to,Country_to,Season,Market_value,Transfer_fee
Habib Bèye,Right-Back,25,R. Strasbourg,Ligue 1,France,Marseille,Ligue 1,France,2003-2004,NA,1100000
Antoine Sibierski,Attacking Midfield,29,Lens,Ligue 1,France,Man City,Premier League,England,2003-2004,NA,1100000
Bernt Haas,Right-Back,25,Sunderland,First Division,Ireland,West Brom,First Division,First Division,2003-2004,NA,1100000
Roberto Muzzi,Centre-Forward,31,Udinese Calcio,Serie A,Italy,Lazio,Serie A,Italy,2003-2004,NA,1100000
Bosingwa,Right-Back,20,Boavista,Liga NOS,Portugal,FC Porto,Liga NOS,Portugal,2003-2004,NA,1000000
Dirk Kuyt,Right Winger,22,FC Utrecht,Eredivisie,Netherlands,Feyenoord,Eredivisie,Netherlands,2003-2004,NA,1000000
Razvan Rat,Left-Back,22,Rapid Bucharest,Romania,Romania,Shakhtar D.,Premier Liga,Russia,2003-2004,NA,1000000
Stjepan Tomas,Centre-Back,27,Como,Serie B,Italy,Fenerbahce,Süper Lig,Turkey,2003-2004,NA,1000000
Aleksandr Belozerov,Centre-Back,21,Lada Togliatti,Russia,Russia,Spartak Moscow,Premier Liga,Russia,2003-2004,NA,1000000
Moritz Volz,Right-Back,20,Arsenal,Premier League,England,Fulham,Premier League,England,2003-2004,NA,1000000
Mehmet Yilmaz,Centre-Forward,24,Samsunspor,Süper Lig,Turkey,Trabzonspor,Süper Lig,Turkey,2003-2004,NA,1000000
Pierre van Hooijdonk,Centre-Forward,33,Feyenoord,Eredivisie,Netherlands,Fenerbahce,Süper Lig,Turkey,2003-2004,NA,1000000
Didier Drogba,Centre-Forward,26,Marseille,Ligue 1,France,Chelsea,Premier League,England,2004-2005,NA,38500000
Wayne Rooney,Second Striker,18,Everton,Premier League,England,Man Utd,Premier League,England,2004-2005,NA,37000000
Ricardo Carvalho,Centre-Back,26,FC Porto,Liga NOS,Portugal,Chelsea,Premier League,England,2004-2005,NA,30000000
Émerson,Defensive Midfield,28,AS Roma,Serie A,Italy,Juventus,Serie A,Italy,2004-2005,NA,28000000
Samuel Eto'o,Centre-Forward,23,RCD Mallorca,LaLiga,Spain,FC Barcelona,LaLiga,Spain,2004-2005,NA,27000000
Wálter Samuel,Centre-Back,26,AS Roma,Serie A,Italy,Real Madrid,LaLiga,Spain,2004-2005,NA,25000000
Deco,Attacking Midfield,26,FC Porto,Liga NOS,Portugal,FC Barcelona,LaLiga,Spain,2004-2005,NA,21000000
Paulo Ferreira,Right-Back,25,FC Porto,Liga NOS,Portugal,Chelsea,Premier League,England,2004-2005,NA,20000000
Djibril Cissé,Centre-Forward,22,AJ Auxerre,Ligue 1,France,Liverpool,Premier League,England,2004-2005,NA,20000000
Jonathan Woodgate,Centre-Back,24,Newcastle,Premier League,England,Real Madrid,LaLiga,Spain,2004-2005,NA,18300000
Arjen Robben,Right Winger,20,PSV Eindhoven,Eredivisie,Netherlands,Chelsea,Premier League,England,2004-2005,NA,18000000
Stefano Fiore,Attacking Midfield,29,Lazio,Serie A,Italy,Valencia CF,LaLiga,Spain,2004-2005,NA,17000000
Xabi Alonso,Defensive Midfield,22,Real Sociedad,LaLiga,Spain,Liverpool,Premier League,England,2004-2005,NA,16000000
Matteo Brighi,Central Midfield,23,Juventus,Serie A,Italy,AS Roma,Serie A,Italy,2004-2005,NA,16000000
Zlatan Ibrahimovic,Centre-Forward,22,AFC Ajax,Eredivisie,Netherlands,Juventus,Serie A,Italy,2004-2005,NA,16000000
Carlos Tévez,Second Striker,20,Boca Juniors,Argentina,Argentina,Corinthians,Serie A,Italy,2004-2005,15000000,15000000
Tiago,Central Midfield,23,Benfica,Liga NOS,Portugal,Chelsea,Premier League,England,2004-2005,NA,15000000
Valeri Bojinov,Centre-Forward,18,Lecce,Serie A,Italy,Fiorentina,Serie A,Italy,2004-2005,13000000,14000000
Matuzalém,Defensive Midfield,24,Brescia,Serie A,Italy,Shakhtar D.,Premier Liga,Russia,2004-2005,NA,14000000
Petr Cech,Goalkeeper,22,Stade Rennais,Ligue 1,France,Chelsea,Premier League,England,2004-2005,NA,13000000
Jiri Jarosik,Centre-Back,27,CSKA Moscow,Premier Liga,Russia,Chelsea,Premier League,England,2004-2005,5000000,12000000
Michael Owen,Centre-Forward,24,Liverpool,Premier League,England,Real Madrid,LaLiga,Spain,2004-2005,NA,12000000
Lúcio,Centre-Back,26,Bay. Leverkusen,1.Bundesliga,German,Bayern Munich,1.Bundesliga,Germany,2004-2005,NA,12000000
Alex,Centre-Back,22,Santos FC,Brazil,Brazil,Chelsea,Premier League,England,2004-2005,NA,11500000
Matteo Brighi,Central Midfield,23,Parma,Serie A,Italy,Juventus,Serie A,Italy,2004-2005,NA,11500000
Jean-Alain Boumsong,Centre-Back,25,Rangers,Premiership,Premiership,Newcastle,Premier League,England,2004-2005,8500000,11300000
Marco Di Vaio,Centre-Forward,27,Juventus,Serie A,Italy,Valencia CF,LaLiga,Spain,2004-2005,NA,11000000
Nicolas Anelka,Centre-Forward,25,Man City,Premier League,England,Fenerbahce,Süper Lig,Turkey,2004-2005,15000000,10700000
Jaap Stam,Centre-Back,31,Lazio,Serie A,Italy,AC Milan,Serie A,Italy,2004-2005,NA,10500000
Carlos Alberto,Attacking Midfield,20,FC Porto,Liga NOS,Portugal,Corinthians,Serie A,Italy,2004-2005,6000000,10000000
Gabriel Heinze,Centre-Back,26,Paris SG,Ligue 1,France,Man Utd,Premier League,England,2004-2005,NA,10000000
Fabio Cannavaro,Centre-Back,30,Inter,Serie A,Italy,Juventus,Serie A,Italy,2004-2005,NA,10000000
Jérôme Rothen,Left Midfield,26,Monaco,Ligue 1,France,Paris SG,Ligue 1,France,2004-2005,NA,10000000
Péguy Luyindula,Centre-Forward,25,Olympique Lyon,Ligue 1,France,Marseille,Ligue 1,France,2004-2005,NA,10000000
Javier Chevantón,Centre-Forward,23,Lecce,Serie A,Italy,Monaco,Ligue 1,France,2004-2005,NA,10000000
Mario Yepes,Centre-Back,28,FC Nantes,Ligue 1,France,Paris SG,Ligue 1,France,2004-2005,NA,10000000
Emile Heskey,Centre-Forward,26,Liverpool,Premier League,England,Birmingham,Premier League,England,2004-2005,NA,9320000
Fernando Morientes,Centre-Forward,28,Real Madrid,LaLiga,Spain,Liverpool,Premier League,England,2004-2005,15000000,9250000
Torsten Frings,Defensive Midfield,27,Bor. Dortmund,1.Bundesliga,German,Bayern Munich,1.Bundesliga,Germany,2004-2005,NA,9250000
James Beattie,Centre-Forward,26,Southampton,Premier League,England,Everton,Premier League,England,2004-2005,10000000,9000000
Papa Bouba Diop,Defensive Midfield,26,Lens,Ligue 1,France,Fulham,Premier League,England,2004-2005,NA,9000000
Alan Smith,Central Midfield,23,Leeds,Championship,Championship,Man Utd,Premier League,England,2004-2005,NA,9000000
Luis García,Right Winger,26,FC Barcelona,LaLiga,Spain,Liverpool,Premier League,England,2004-2005,NA,8750000
Fernando Cavenaghi,Centre-Forward,20,River Plate,Argentina,Argentina,Spartak Moscow,Premier Liga,Russia,2004-2005,NA,8600000
Éric Abidal,Left-Back,24,LOSC Lille,Ligue 1,France,Olympique Lyon,Ligue 1,France,2004-2005,NA,8500000
Ludovic Giuly,Right Winger,27,Monaco,Ligue 1,France,FC Barcelona,LaLiga,Spain,2004-2005,NA,8500000
Pierre-Alain Frau,Centre-Forward,24,FC Sochaux,Ligue 1,France,Olympique Lyon,Ligue 1,France,2004-2005,NA,8500000
Andy Reid,Left Midfield,22,Nottm Forest,Championship,Championship,Spurs,Premier League,England,2004-2005,3500000,8000000
Edmílson,Centre-Back,27,Olympique Lyon,Ligue 1,France,FC Barcelona,LaLiga,Spain,2004-2005,NA,8000000
Goran Pandev,Second Striker,20,Inter,Serie A,Italy,Lazio,Serie A,Italy,2004-2005,NA,8000000
Anderson,Central Midfield,16,Grêmio,Brazil,Brazil,FC Porto,Liga NOS,Portugal,2004-2005,NA,8000000
Elano,Attacking Midfield,23,Santos FC,Serie A,Italy,Shakhtar D.,Premier Liga,Russia,2004-2005,NA,7600000
Derlei,Centre-Forward,29,FC Porto,Liga NOS,Portugal,Dinamo Moscow,Premier Liga,Russia,2004-2005,10000000,7500000
Mateja Kezman,Centre-Forward,25,PSV Eindhoven,Eredivisie,Netherlands,Chelsea,Premier League,England,2004-2005,NA,7500000
Tomás Ujfalusi,Centre-Back,26,Hamburger SV,1.Bundesliga,German,Fiorentina,Serie A,Italy,2004-2005,NA,7500000
Hélder Postiga,Centre-Forward,21,Spurs,Premier League,England,FC Porto,Liga NOS,Portugal,2004-2005,NA,7500000
James Milner,Central Midfield,18,Leeds,Championship,Championship,Newcastle,Premier League,England,2004-2005,NA,7400000
Barry Ferguson,Defensive Midfield,27,Blackburn,Premier League,England,Rangers,Premiership,Premiership,2004-2005,5250000,7250000
Simone Perrotta,Attacking Midfield,26,Chievo Verona,Serie A,Italy,AS Roma,Serie A,Italy,2004-2005,NA,7200000
Michael Dawson,Centre-Back,21,Nottm Forest,Championship,Championship,Spurs,Premier League,England,2004-2005,1000000,7000000
Philippe Mexès,Centre-Back,22,AJ Auxerre,Ligue 1,France,AS Roma,Serie A,Italy,2004-2005,NA,7000000
Fabrizio Miccoli,Centre-Forward,25,Juventus,Serie A,Italy,Fiorentina,Serie A,Italy,2004-2005,NA,7000000
Matteo Ferrari,Centre-Back,24,Parma,Serie A,Italy,AS Roma,Serie A,Italy,2004-2005,NA,7000000
Diego,Attacking Midfield,19,Santos FC,Brazil,Brazil,FC Porto,Liga NOS,Portugal,2004-2005,NA,7000000
Mark Viduka,Centre-Forward,28,Leeds,Championship,Championship,Middlesbrough,Premier League,England,2004-2005,NA,6750000
Giampaolo Pazzini,Centre-Forward,20,Atalanta,Serie A,Italy,Fiorentina,Serie A,Italy,2004-2005,3000000,6500000
Maxi López,Centre-Forward,20,River Plate,Argentina,Argentina,FC Barcelona,LaLiga,Spain,2004-2005,NA,6500000
Giorgio Chiellini,Centre-Back,19,AS Livorno,Serie A,Italy,Fiorentina,Serie A,Italy,2004-2005,NA,6500000
Luciano Figueroa,Centre-Forward,23,CD Cruz Azul,Mexico,Mexico,Villarreal CF,LaLiga,Spain,2004-2005,3250000,6200000
Vágner Love,Centre-Forward,20,Palmeiras,Brazil,Brazil,CSKA Moscow,Premier Liga,Russia,2004-2005,NA,6200000
Dean Ashton,Centre-Forward,21,Crewe Alexandra,Championship,Championship,Norwich,Premier League,England,2004-2005,750000,6000000
Mido,Centre-Forward,21,Marseille,Ligue 1,France,AS Roma,Serie A,Italy,2004-2005,NA,6000000
Juliano Belletti,Right-Back,28,Villarreal CF,LaLiga,Spain,FC Barcelona,LaLiga,Spain,2004-2005,NA,6000000
Eduardo Costa,Defensive Midfield,21,G. Bordeaux,Ligue 1,France,Marseille,Ligue 1,France,2004-2005,NA,6000000
Ricardo Quaresma,Right Winger,20,FC Barcelona,LaLiga,Spain,FC Porto,Liga NOS,Portugal,2004-2005,NA,6000000
Nilmar,Centre-Forward,20,Internacional,Brazil,Brazil,Olympique Lyon,Ligue 1,France,2004-2005,NA,5750000
Francisco Lima,Defensive Midfield,33,AS Roma,Serie A,Italy,Loko Moscow,Premier Liga,Russia,2004-2005,NA,5700000
Edú,Second Striker,25,Celta de Vigo,LaLiga2,Spain,Real Betis,LaLiga,Spain,2004-2005,NA,5500000
Dario Dainelli,Centre-Back,25,Brescia,Serie A,Italy,Fiorentina,Serie A,Italy,2004-2005,NA,5500000
Stephen Makinwa,Centre-Forward,21,Genoa,Serie B,Italy,Atalanta,Serie A,Italy,2004-2005,200000,5400000
Joel Huiqui,Centre-Back,21,CF Pachuca,Mexico,Mexico,CD Cruz Azul,Mexico,Mexico,2004-2005,NA,5400000
Gerard Piqué,Centre-Back,17,Barça Juvenil A,Spain,Spain,Man Utd,Premier League,England,2004-2005,NA,5250000
Sean Davis,Defensive Midfield,24,Fulham,Premier League,England,Spurs,Premier League,England,2004-2005,NA,5200000
Fabricio Coloccini,Centre-Back,23,AC Milan,Serie A,Italy,Dep. La Coruña,LaLiga,Spain,2004-2005,8000000,5000000
Franck Ribéry,Left Winger,21,FC Metz,Ligue 1,France,Galatasaray,Süper Lig,Turkey,2004-2005,4500000,5000000
Miroslav Klose,Centre-Forward,26,1.FC K'lautern,1.Bundesliga,German,Werder Bremen,1.Bundesliga,Germany,2004-2005,NA,5000000
Mohamed Kallon,Centre-Forward,24,Inter,Serie A,Italy,Monaco,Ligue 1,France,2004-2005,NA,5000000
Simone Barone,Central Midfield,26,Parma,Serie A,Italy,US Palermo,Serie A,Italy,2004-2005,NA,5000000
Benoît Pedretti,Defensive Midfield,23,FC Sochaux,Ligue 1,France,Marseille,Ligue 1,France,2004-2005,NA,5000000
Manuel Almunia,Goalkeeper,27,Celta de Vigo,LaLiga2,Spain,Arsenal,Premier League,England,2004-2005,NA,5000000
Sylvain Armand,Centre-Back,23,FC Nantes,Ligue 1,France,Paris SG,Ligue 1,France,2004-2005,NA,5000000
Peter Luccin,Defensive Midfield,25,Celta de Vigo,LaLiga2,Spain,Atlético Madrid,LaLiga,Spain,2004-2005,NA,5000000
Rodrigo,Centre-Back,24,São Paulo,Serie A,Italy,Dynamo Kyiv,Premier Liga,Russia,2004-2005,NA,5000000
Jádson,Attacking Midfield,21,Atlético-PR,Serie A,Italy,Shakhtar D.,Premier Liga,Russia,2004-2005,NA,5000000
Angelos Charisteas,Centre-Forward,24,Werder Bremen,1.Bundesliga,German,AFC Ajax,Eredivisie,Netherlands,2004-2005,6000000,4900000
César Carignano,Centre-Forward,21,Colón,Argentina,Argentina,FC Basel,Super League,Super League,2004-2005,NA,4700000
Robbie Savage,Central Midfield,30,Birmingham,Premier League,England,Blackburn,Premier League,England,2004-2005,5000000,4500000
Juanfran,Left-Back,27,Celta de Vigo,LaLiga2,Spain,Besiktas,Süper Lig,Turkey,2004-2005,NA,4500000
Thimothée Atouba,Left-Back,22,FC Basel,Super League,Super League,Spurs,Premier League,England,2004-2005,NA,4500000
Robert Earnshaw,Centre-Forward,23,Cardiff,Championship,Championship,West Brom,Premier League,England,2004-2005,NA,4500000
Robin van Persie,Centre-Forward,20,Feyenoord,Eredivisie,Netherlands,Arsenal,Premier League,England,2004-2005,NA,4500000
Nemanja Vidic<U+200E>,Centre-Back,22,Red Star,Serbia,Serbia,Spartak Moscow,Premier Liga,Russia,2004-2005,NA,4450000
Michael Carrick,Defensive Midfield,23,West Ham,Championship,Championship,Spurs,Premier League,England,2004-2005,NA,4100000
Benjamin Lauth,Centre-Forward,22,1860 Munich,2.Bundesliga,Germany,Hamburger SV,1.Bundesliga,Germany,2004-2005,NA,4100000
Clemente Rodríguez,Left-Back,23,Boca Juniors,Argentina,Argentina,Spartak Moscow,Premier Liga,Russia,2004-2005,3500000,4000000
Radoslav Kovac,Centre-Back,25,Sparta Praha,HET Liga,HET Liga,Spartak Moscow,Premier Liga,Russia,2004-2005,50000,4000000
Robert,Centre-Forward,23,Atlas,Mexico,Mexico,PSV Eindhoven,Eredivisie,Netherlands,2004-2005,50000,4000000
Mikel Arteta,Central Midfield,22,Rangers,Premiership,Premiership,Real Sociedad,LaLiga,Spain,2004-2005,NA,4000000
Alex,Attacking Midfield,26,Cruzeiro,Brazil,Brazil,Fenerbahce,Süper Lig,Turkey,2004-2005,NA,4000000
Marcelo Bordon,Centre-Back,28,VfB Stuttgart,1.Bundesliga,German,FC Schalke 04,1.Bundesliga,Germany,2004-2005,NA,4000000
Martin Laursen,Centre-Back,26,AC Milan,Serie A,Italy,Aston Villa,Premier League,England,2004-2005,NA,4000000
Emanuele Calaiò,Centre-Forward,22,Pescara,Serie B,Italy,SSC Napoli,Serie C - B,Serie C - B,2004-2005,NA,4000000
Ricardo Oliveira,Centre-Forward,24,Valencia CF,LaLiga,Spain,Real Betis,LaLiga,Spain,2004-2005,NA,4000000
Francis Jeffers,Centre-Forward,23,Arsenal,Premier League,England,Charlton,Premier League,England,2004-2005,NA,3900000
Daniel Van Buyten,Centre-Back,26,Marseille,Ligue 1,France,Hamburger SV,1.Bundesliga,Germany,2004-2005,NA,3800000
Martin Albrechtsen,Centre-Back,24,FC Copenhagen,Superligaen,Superligaen,West Brom,Premier League,England,2004-2005,NA,3750000
Nicky Butt,Central Midfield,29,Man Utd,Premier League,England,Newcastle,Premier League,England,2004-2005,NA,3750000
Thomas Buffel,Right Winger,23,Feyenoord,Eredivisie,Netherlands,Rangers,Premiership,Premiership,2004-2005,5500000,3500000
Dudu Cearense,Central Midfield,21,Kashiwa Reysol,J1 League,J1 League,CSKA Moscow,Premier Liga,Russia,2004-2005,2500000,3500000
Cris,Centre-Back,27,Cruzeiro,Brazil,Brazil,Olympique Lyon,Ligue 1,France,2004-2005,NA,3500000
John Carew,Centre-Forward,24,Valencia CF,LaLiga,Spain,Besiktas,Süper Lig,Turkey,2004-2005,NA,3500000
Paul Freier,Right Midfield,24,VfL Bochum,1.Bundesliga,German,Bay. Leverkusen,1.Bundesliga,Germany,2004-2005,NA,3500000
Ariza Makukula,Centre-Forward,23,FC Nantes,Ligue 1,France,Sevilla FC,LaLiga,Spain,2004-2005,NA,3500000
Dennis Rommedahl,Right Winger,25,PSV Eindhoven,Eredivisie,Netherlands,Charlton,Premier League,England,2004-2005,NA,3500000
Cícero,Centre-Forward,18,Braga,Liga NOS,Portugal,Dinamo Moscow,Premier Liga,Russia,2004-2005,NA,3500000
Mariano González,Right Midfield,23,Racing Club,Argentina,Argentina,US Palermo,Serie A,Italy,2004-2005,NA,3500000
Nicolás Burdisso,Centre-Back,23,Boca Juniors,Argentina,Argentina,Inter,Serie A,Italy,2004-2005,NA,3500000
Luís Fabiano,Centre-Forward,23,São Paulo,Brazil,Brazil,FC Porto,Liga NOS,Portugal,2004-2005,NA,3500000
Jefferson Farfán,Right Winger,19,Alianza Lima,Peru,Peru,PSV Eindhoven,Eredivisie,Netherlands,2004-2005,NA,3500000
Thomas Gravesen,Defensive Midfield,28,Everton,Premier League,England,Real Madrid,LaLiga,Spain,2004-2005,6000000,3400000
Luis Perea,Centre-Back,25,Boca Juniors,Argentina,Argentina,Atlético Madrid,LaLiga,Spain,2004-2005,NA,3300000
Jesper Grönkjaer,Left Winger,26,Chelsea,Premier League,England,Birmingham,Premier League,England,2004-2005,NA,3300000
Martin Jiranek,Centre-Back,25,Reggina,Serie A,Italy,Spartak Moscow,Premier Liga,Russia,2004-2005,NA,3300000
Danny Murphy,Central Midfield,27,Liverpool,Premier League,England,Charlton,Premier League,England,2004-2005,NA,3250000
Cristian Silvestri,Centre-Back,29,Lecce,Serie A,Italy,Catania,Serie B,Italy,2004-2005,1250000,3200000
Diego Forlán,Second Striker,25,Man Utd,Premier League,England,Villarreal CF,LaLiga,Spain,2004-2005,NA,3200000
Nigel Quashie,Central Midfield,26,Portsmouth,Premier League,England,Southampton,Premier League,England,2004-2005,2500000,3150000
Amdy Fayé,Defensive Midfield,27,Portsmouth,Premier League,England,Newcastle,Premier League,England,2004-2005,3000000,3000000
Danny,Attacking Midfield,21,Sporting CP,Liga NOS,Portugal,Dinamo Moscow,Premier Liga,Russia,2004-2005,2250000,3000000
Maicon,Right-Back,22,Cruzeiro,Brazil,Brazil,Monaco,Ligue 1,France,2004-2005,NA,3000000
Georgios Seitaridis,Right-Back,23,Panathinaikos,Super League,Super League,FC Porto,Liga NOS,Portugal,2004-2005,NA,3000000
Pablo Ibáñez,Centre-Back,22,Albacete,LaLiga,Spain,Atlético Madrid,LaLiga,Spain,2004-2005,NA,3000000
Paul Robinson,Goalkeeper,24,Leeds,Championship,Championship,Spurs,Premier League,England,2004-2005,NA,3000000
Ibrahim Toraman,Centre-Back,22,Gaziantepspor,Süper Lig,Turkey,Besiktas,Süper Lig,Turkey,2004-2005,NA,3000000
Pedro Mendes,Defensive Midfield,25,FC Porto,Liga NOS,Portugal,Spurs,Premier League,England,2004-2005,NA,3000000
Ilan,Centre-Forward,23,Atlético-PR,Brazil,Brazil,FC Sochaux,Ligue 1,France,2004-2005,NA,3000000
Daniel Moreira,Second Striker,26,Lens,Ligue 1,France,Toulouse,Ligue 1,France,2004-2005,NA,3000000
Habib Bamogo,Second Striker,22,Montpellier,Ligue 2,France,Marseille,Ligue 1,France,2004-2005,NA,3000000
Éric Carrière,Attacking Midfield,31,Olympique Lyon,Ligue 1,France,Lens,Ligue 1,France,2004-2005,NA,3000000
Stephen Carr,Right-Back,27,Spurs,Premier League,England,Newcastle,Premier League,England,2004-2005,NA,3000000
Fabrice Fiorèse,Right Winger,29,Paris SG,Ligue 1,France,Marseille,Ligue 1,France,2004-2005,NA,3000000
Julio Cáceres,Centre-Back,24,Olimpia,Paraguay,Paraguay,FC Nantes,Ligue 1,France,2004-2005,NA,3000000
Vedran Runje,Goalkeeper,28,Marseille,Ligue 1,France,Standard Liège,Jupiler Pro League,Belgium,2004-2005,NA,3000000
Juan Carlos Menseguez,Second Striker,20,River Plate,Argentina,Argentina,VfL Wolfsburg,1.Bundesliga,Germany,2004-2005,NA,3000000
Tomasz Radzinski,Centre-Forward,30,Everton,Premier League,England,Fulham,Premier League,England,2004-2005,NA,3000000
Josemi,Centre-Back,24,Málaga CF,LaLiga,Spain,Liverpool,Premier League,England,2004-2005,NA,3000000
Batista,Defensive Midfield,29,Galatasaray,Süper Lig,Turkey,Shakhtar D.,Premier Liga,Russia,2004-2005,NA,3000000
Florin Bratu,Centre-Forward,24,Galatasaray,Süper Lig,Turkey,FC Nantes,Ligue 1,France,2004-2005,NA,3000000
Tomas Hübschman,Defensive Midfield,22,Sparta Praha,HET Liga,HET Liga,Shakhtar D.,Premier Liga,Russia,2004-2005,NA,3000000
Jelle Van Damme,Left-Back,20,AFC Ajax,Eredivisie,Netherlands,Southampton,Premier League,England,2004-2005,NA,3000000
Peter Crouch,Centre-Forward,23,Aston Villa,Premier League,England,Southampton,Premier League,England,2004-2005,NA,3000000
David Healy,Centre-Forward,25,Preston NE,Championship,Championship,Leeds,Championship,Championship,2004-2005,NA,2750000
Sotiris Kyrgiakos,Centre-Back,25,Panathinaikos,Super League,Super League,Rangers,Premiership,Premiership,2004-2005,3800000,2630000
Eric Djemba-Djemba,Defensive Midfield,23,Man Utd,Premier League,England,Aston Villa,Premier League,England,2004-2005,7000000,2540000
Leandro Romagnoli,Attacking Midfield,23,San Lorenzo,Argentina,Argentina,Tiburones Rojos,Mexico,Mexico,2004-2005,3000000,2500000
Sergey Semak,Central Midfield,28,CSKA Moscow,Premier Liga,Russia,Paris SG,Ligue 1,France,2004-2005,1000000,2500000
Emile Mpenza,Centre-Forward,26,Standard Liège,Jupiler Pro League,Belgium,Hamburger SV,1.Bundesliga,Germany,2004-2005,NA,2500000
Ricardo Fuller,Centre-Forward,24,Preston NE,Championship,Championship,Portsmouth,Premier League,England,2004-2005,NA,2500000
Adailton,Centre-Back,21,EC Vitória,Brazil,Brazil,Stade Rennais,Ligue 1,France,2004-2005,NA,2500000
Andreas Görlitz,Right-Back,22,1860 Munich,2.Bundesliga,Germany,Bayern Munich,1.Bundesliga,Germany,2004-2005,NA,2500000
Giorgi Demetradze,Centre-Forward,28,Metalurh D.,Premier Liga,Russia,Spartak V.,Premier Liga,Russia,2004-2005,NA,2500000
Lima,Centre-Forward,23,Braga,Liga NOS,Portugal,Atlético-PR,Serie A,Italy,2004-2005,NA,2500000
Mauro Rosales,Right Midfield,23,Newell's,Argentina,Argentina,AFC Ajax,Eredivisie,Netherlands,2004-2005,NA,2500000
Thiago Silva,Centre-Back,20,Juventude,Serie A,Italy,FC Porto,Liga NOS,Portugal,2004-2005,NA,2500000
Júlio César,Goalkeeper,25,Flamengo,Serie A,Italy,Inter,Serie A,Italy,2004-2005,2000000,2450000
Fabrizio Miccoli,Centre-Forward,25,Fiorentina,Serie A,Italy,Juventus,Serie A,Italy,2004-2005,15000000,2400000
Erik Hagen,Centre-Back,29,Valerenga,Eliteserien,Eliteserien,Zenit S-Pb,Premier Liga,Russia,2004-2005,2400000,2400000
Noé Pamarot,Centre-Back,25,OGC Nice,Ligue 1,France,Spurs,Premier League,England,2004-2005,NA,2400000
Cata Díaz,Centre-Back,25,Colón,Argentina,Argentina,Boca Juniors,Argentina,Argentina,2004-2005,NA,2400000
Roger,Attacking Midfield,26,Benfica,Liga NOS,Portugal,Corinthians,Serie A,Italy,2004-2005,1500000,2300000
Mathieu Berson,Defensive Midfield,24,FC Nantes,Ligue 1,France,Aston Villa,Premier League,England,2004-2005,NA,2300000
Marek Heinz,Centre-Forward,26,Banik Ostrava,HET Liga,HET Liga,Bor. M'gladbach,1.Bundesliga,Germany,2004-2005,NA,2300000
Robbie Blake,Second Striker,28,Burnley,Championship,Championship,Birmingham,Premier League,England,2004-2005,1750000,2250000
Richard Chaplow,Central Midfield,20,Burnley,Championship,Championship,West Brom,Premier League,England,2004-2005,50000,2250000
Lomana LuaLua,Second Striker,23,Newcastle,Premier League,England,Portsmouth,Premier League,England,2004-2005,NA,2250000
Zoltán Gera,Central Midfield,25,Ferencváros,NB I.,NB I.,West Brom,Premier League,England,2004-2005,NA,2250000
Fitz Hall,Centre-Back,23,Southampton,Premier League,England,Crystal Palace,Premier League,England,2004-2005,NA,2250000
Morten Gamst Pedersen,Central Midfield,22,Tromsø,Eliteserien,Eliteserien,Blackburn,Premier League,England,2004-2005,NA,2250000
Milos Krasic,Central Midfield,19,Vojvodina,Serbia,Serbia,CSKA Moscow,Premier Liga,Russia,2004-2005,NA,2250000
Emmanuel Eboué,Right-Back,21,KSK Beveren,Jupiler Pro League,Belgium,Arsenal,Premier League,England,2004-2005,1800000,2200000
Sergio Almirón,Central Midfield,23,Udinese Calcio,Serie A,Italy,FC Empoli,Serie B,Italy,2004-2005,NA,2200000
Vladimir Manchev,Centre-Forward,26,LOSC Lille,Ligue 1,France,Levante UD,LaLiga,Spain,2004-2005,NA,2200000
Tim Cahill,Attacking Midfield,24,Millwall,Championship,Championship,Everton,Premier League,England,2004-2005,NA,2200000
Adriano,Left-Back,20,Coritiba FC,Serie A,Italy,Sevilla FC,LaLiga,Spain,2004-2005,NA,2100000
Jesper Grönkjaer,Left Winger,27,Birmingham,Premier League,England,Atlético Madrid,LaLiga,Spain,2004-2005,6500000,2000000
Sonny Anderson,Centre-Forward,34,Villarreal CF,LaLiga,Spain,Al Rayyan,Qatar,Qatar,2004-2005,4000000,2000000
Chong-gug Song,Right-Back,25,Feyenoord,Eredivisie,Netherlands,Suwon Bluewings,"Korea, South","Korea, South",2004-2005,2800000,2000000
Luís Loureiro,Defensive Midfield,28,Braga,Liga NOS,Portugal,Dinamo Moscow,Premier Liga,Russia,2004-2005,2750000,2000000
Leandro,Left-Back,25,Cruzeiro,Serie A,Italy,FC Porto,Liga NOS,Portugal,2004-2005,2500000,2000000
Sebastian Mila,Attacking Midfield,22,Grodzisk,Ekstraklasa,Ekstraklasa,Austria Vienna,Bundesliga,Bundesliga,2004-2005,1500000,2000000
Léo Lima,Attacking Midfield,22,Marítimo,Liga NOS,Portugal,FC Porto,Liga NOS,Portugal,2004-2005,500000,2000000
Aleksey Bugaev,Centre-Back,23,Torpedo Moscow,Premier Liga,Russia,Loko Moscow,Premier Liga,Russia,2004-2005,50000,2000000
Paulo Assunção,Defensive Midfield,24,Nacional,Liga NOS,Portugal,FC Porto,Liga NOS,Portugal,2004-2005,NA,2000000
Jussiê,Attacking Midfield,21,Cruzeiro,Serie A,Italy,Lens,Ligue 1,France,2004-2005,NA,2000000
Kevin Hofland,Centre-Back,25,PSV Eindhoven,Eredivisie,Netherlands,VfL Wolfsburg,1.Bundesliga,Germany,2004-2005,NA,2000000
