Name,Position,Age,Team_from,League_from,Country_From,Team_to,League_to,Country_to,Season,Market_value,Transfer_fee
Giannis Fetfatzidis,Right Winger,22,Olympiacos,Super League,Super League,Genoa,Serie A,Italy,2013-2014,3250000,4000000
Joel Robles,Goalkeeper,23,Atlético Madrid,LaLiga,Spain,Everton,Premier League,England,2013-2014,3000000,4000000
Henrique,Centre-Back,27,Palmeiras,Serie A,Italy,SSC Napoli,Serie A,Italy,2013-2014,2500000,4000000
Charles Aránguiz,Central Midfield,24,U. de Chile,Primera División,Spain,Udinese Calcio,Serie A,Italy,2013-2014,2200000,4000000
Ilia Maksimov,Central Midfield,26,KS Samara,Premier Liga,Russia,Anzhi,Premier Liga,Russia,2013-2014,2000000,4000000
Jasmin Kurtic,Attacking Midfield,24,US Palermo,Serie B,Italy,Sassuolo,Serie A,Italy,2013-2014,2000000,4000000
Benjamin Mendy,Left-Back,18,AC Le Havre,Ligue 2,France,Marseille,Ligue 1,France,2013-2014,2000000,4000000
Nicolás López,Centre-Forward,19,AS Roma,Serie A,Italy,Udinese Calcio,Serie A,Italy,2013-2014,1700000,4000000
Oleksandr Volovyk,Centre-Back,27,Metalurh D.,Premier Liga,Russia,Shakhtar D.,Premier Liga,Russia,2013-2014,1500000,4000000
Rodney Strasser,Defensive Midfield,23,AC Milan,Serie A,Italy,Genoa,Serie A,Italy,2013-2014,1200000,4000000
Luis Suárez,Centre-Forward,27,Liverpool,Premier League,England,FC Barcelona,LaLiga,Spain,2014-2015,52000000,81720000
James Rodríguez,Attacking Midfield,23,Monaco,Ligue 1,France,Real Madrid,LaLiga,Spain,2014-2015,60000000,75000000
Ángel Di María,Right Winger,26,Real Madrid,LaLiga,Spain,Man Utd,Premier League,England,2014-2015,50000000,75000000
David Luiz,Centre-Back,27,Chelsea,Premier League,England,Paris SG,Ligue 1,France,2014-2015,26000000,49500000
Alexis Sánchez,Left Winger,25,FC Barcelona,LaLiga,Spain,Arsenal,Premier League,England,2014-2015,30000000,42500000
Diego Costa,Centre-Forward,25,Atlético Madrid,LaLiga,Spain,Chelsea,Premier League,England,2014-2015,35000000,38000000
Luke Shaw,Left-Back,18,Southampton,Premier League,England,Man Utd,Premier League,England,2014-2015,13000000,37500000
Ander Herrera,Central Midfield,24,Athletic Bilbao,LaLiga,Spain,Man Utd,Premier League,England,2014-2015,20000000,36000000
Romelu Lukaku,Centre-Forward,21,Chelsea,Premier League,England,Everton,Premier League,England,2014-2015,25000000,35360000
Cesc Fàbregas,Central Midfield,27,FC Barcelona,LaLiga,Spain,Chelsea,Premier League,England,2014-2015,50000000,33000000
Wilfried Bony,Centre-Forward,26,Swansea,Premier League,England,Man City,Premier League,England,2014-2015,17000000,32300000
André Schürrle,Left Winger,24,Chelsea,Premier League,England,VfL Wolfsburg,1.Bundesliga,Germany,2014-2015,23000000,32000000
Juan Cuadrado,Right Winger,26,Fiorentina,Serie A,Italy,Chelsea,Premier League,England,2014-2015,32000000,31000000
Adam Lallana,Attacking Midfield,26,Southampton,Premier League,England,Liverpool,Premier League,England,2014-2015,7500000,31000000
Eliaquim Mangala,Centre-Back,23,FC Porto,Liga NOS,Portugal,Man City,Premier League,England,2014-2015,28000000,30500000
Antoine Griezmann,Centre-Forward,23,Real Sociedad,LaLiga,Spain,Atlético Madrid,LaLiga,Spain,2014-2015,30000000,30000000
Medhi Benatia,Centre-Back,27,AS Roma,Serie A,Italy,Bayern Munich,1.Bundesliga,Germany,2014-2015,28000000,28000000
Dejan Lovren,Centre-Back,25,Southampton,Premier League,England,Liverpool,Premier League,England,2014-2015,12000000,25300000
Toni Kroos,Central Midfield,24,Bayern Munich,1.Bundesliga,German,Real Madrid,LaLiga,Spain,2014-2015,42000000,25000000
Enzo Pérez,Central Midfield,28,Benfica,Liga NOS,Portugal,Valencia CF,LaLiga,Spain,2014-2015,23000000,25000000
Lazar Markovic,Right Winger,20,Benfica,Liga NOS,Portugal,Liverpool,Premier League,England,2014-2015,10000000,25000000
Juan Iturbe,Right Winger,21,Hellas Verona,Serie A,Italy,AS Roma,Serie A,Italy,2014-2015,20000000,24500000
Sadio Mané,Left Winger,22,RB Salzburg,Bundesliga,Germany,Southampton,Premier League,England,2014-2015,7500000,23000000
Mario Mandzukic,Left Winger,28,Bayern Munich,1.Bundesliga,German,Atlético Madrid,LaLiga,Spain,2014-2015,30000000,22000000
Calum Chambers,Centre-Back,19,Southampton,Premier League,England,Arsenal,Premier League,England,2014-2015,2000000,20230000
Mario Balotelli,Centre-Forward,24,AC Milan,Serie A,Italy,Liverpool,Premier League,England,2014-2015,27000000,20000000
Danny Welbeck,Centre-Forward,23,Man Utd,Premier League,England,Arsenal,Premier League,England,2014-2015,17000000,20000000
Filipe Luís,Left-Back,28,Atlético Madrid,LaLiga,Spain,Chelsea,Premier League,England,2014-2015,15000000,20000000
